,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,1,17.549999237060547,-1.0,2237.8206171875,-1.0,10.0,40.60947036743164,36.804065227508545,49682f6d-2f5b-48b0-bcf6-f320abb0f119,0.0,cifar10,100,1,20100000
1,21,31.17999839782715,-1.0,421.90200678710937,-1.0,84.0,1.6903260946273804,175.83092403411865,49682f6d-2f5b-48b0-bcf6-f320abb0f119,0.0,cifar10,100,1,20100000
2,41,48.779998779296875,-1.0,40.269937130737304,-1.0,98.0,0.053905487060546875,299.4477093219757,49682f6d-2f5b-48b0-bcf6-f320abb0f119,0.0,cifar10,100,1,20100000
3,61,52.439998626708984,-1.0,26.801653088378906,-1.0,98.0,0.12225862592458725,420.3124039173126,49682f6d-2f5b-48b0-bcf6-f320abb0f119,0.0,cifar10,100,1,20100000
4,81,53.5099983215332,-1.0,25.077813069152832,-1.0,97.0,0.23658256232738495,541.6162803173065,49682f6d-2f5b-48b0-bcf6-f320abb0f119,0.0,cifar10,100,1,20100000
5,100,53.77000045776367,-1.0,24.59666157836914,-1.0,96.0,0.29664185643196106,658.3894755840302,49682f6d-2f5b-48b0-bcf6-f320abb0f119,0.0,cifar10,100,1,20100000
0,1,42.40999984741211,-1.0,279.58148395996096,-1.0,42.5,50.88248275756836,43.04591417312622,720418a7-6a23-4637-af59-bb008c7ff58b,0.0,cifar10,1600,1,20100000
1,21,75.68999481201172,-1.0,1.2137669507980346,-1.0,79.75,0.7351838409900665,270.28015780448914,720418a7-6a23-4637-af59-bb008c7ff58b,0.0,cifar10,1600,1,20100000
2,41,77.95999908447266,-1.0,1.0206932552337646,-1.0,85.625,0.41908981442451476,495.325546503067,720418a7-6a23-4637-af59-bb008c7ff58b,0.0,cifar10,1600,1,20100000
3,61,78.11000061035156,-1.0,0.9832271273851395,-1.0,86.0625,0.4056105637550354,721.7241060733795,720418a7-6a23-4637-af59-bb008c7ff58b,0.0,cifar10,1600,1,20100000
4,81,78.47999572753906,-1.0,0.9570901973724365,-1.0,86.5,0.3643313038349152,943.8880598545074,720418a7-6a23-4637-af59-bb008c7ff58b,0.0,cifar10,1600,1,20100000
5,100,78.3699951171875,-1.0,0.9660067323684692,-1.0,86.0625,0.40518358707427976,1160.2197334766388,720418a7-6a23-4637-af59-bb008c7ff58b,0.0,cifar10,1600,1,20100000
0,1,10.34000015258789,-1.0,255922.738725,-1.0,16.0,51.94837951660156,35.605958461761475,5455ca53-6097-4ae6-bb61-18ffb0e8cd91,0.0,cifar10,200,1,20100000
1,21,54.27000045776367,-1.0,16.731357820129393,-1.0,80.5,1.683944458961487,166.5063807964325,5455ca53-6097-4ae6-bb61-18ffb0e8cd91,0.0,cifar10,200,1,20100000
