,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
33,100,94.86082458,-1,0.222853668,-1,98.0625,0.064078975,1301.686367,0012f3e7-97d0-4fdf-91d2-4f5ae56448b4,0,celeba,1600,3,20100000,FALSE
34,100,92.50012207,-1,0.204757293,-1,94.0625,0.158690009,1183.570735,89d60a73-9c85-4016-ae53-f7a49b5cbd59,0,celeba,1600,3,20100000,TRUE
35,100,92.94306946,-1,0.421851068,-1,99.6875,0.01529318,1140.220138,fe86929e-c9a8-4218-b2d1-3a1f8e7a01cd,3,celeba,1600,1,20100000,FALSE
36,100,94.32224274,-1,0.17261293,-1,99.375,0.029365859,1293.313277,727c03f3-5a60-4a89-8be7-31adca55b6f4,3,celeba,1600,3,20100000,FALSE
37,100,93.01856995,-1,0.212204978,-1,99.25,0.043180256,1184.281502,695fe576-c847-4969-91d2-80609bbb5ad0,3,celeba,1600,3,20100000,TRUE
38,100,92.53536224,-1,0.201008408,-1,97.0625,0.093004352,1264.500686,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
39,100,92.17798615,-1,0.204323422,-1,97.6875,0.071070169,729.9213676,ea032879-28d7-4a52-8cde-9b66161163b0,8,celeba,1600,3,20100000,TRUE
40,150,95.24337006,-1,0.178609569,-1,99.25,0.02555325,2713.383923,fd3c5e07-5ff4-493a-8b60-d5e9b0272ef5,0,celeba,3200,1,20100000,FALSE
41,150,94.26184082,-1,0.156086075,-1,96.3125,0.09513072,3071.465014,3bba28fd-4077-4167-a508-566e1b3a92a4,0,celeba,3200,3,20100000,TRUE
42,150,94.27190399,-1,0.277573433,-1,99.90625,0.004423401,2730.072069,0d6d486d-9324-4bd3-9f04-f6e30acccab8,3,celeba,3200,1,20100000,FALSE
43,150,94.45814514,-1,0.231452453,-1,100,0.003150398,3418.303405,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
44,150,94.08567047,-1,0.159177303,-1,98.1875,0.054429639,3084.770709,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
45,150,93.91452789,-1,0.196706942,-1,99.34375,0.025005144,1769.927756,8c37c340-8391-4c4d-82dd-a53d589426fb,8,celeba,3200,3,20100000,TRUE
46,150,96.87421417,-1,0.087329083,-1,98.859375,0.033693561,4742.55721,57bbbd9e-ffac-448c-8e3f-c775a65c7de8,0,celeba,6400,3,20100000,FALSE
47,150,95.51013947,-1,0.125074858,-1,97.640625,0.059667699,4577.24457,5cc9e3f3-14c3-426b-b526-de0e5f3e70fb,0,celeba,6400,3,20100000,TRUE
48,150,95.34906769,-1,0.185281475,-1,99.9375,0.003170498,4236.942305,bf9a5ae5-6088-4b91-bd14-c9460accc47b,3,celeba,6400,1,20100000,FALSE
49,150,96.94467926,-1,0.11377196,-1,100,0.001576932,4829.638207,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
50,150,95.34906769,-1,0.177973343,-1,99.9375,0.002828822,4909.513035,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
51,150,94.90109253,-1,0.191338315,-1,99.609375,0.013437071,5075.806579,94920a57-201d-4edb-b2af-14d801816c2a,4,celeba,6400,3,20100000,TRUE
52,150,94.86585999,-1,0.214187398,-1,99.828125,0.005882216,2605.725152,c283b191-cbf8-4128-bce5-f97875850ee6,8,celeba,6400,3,20100000,TRUE
53,150,96.79367828,-1,0.110303418,-1,99.796875,0.006919212,6828.451296,67aa6320-35f5-44f9-8c90-48c51f31c1e2,0,celeba,12800,1,20100000,FALSE
54,150,98.05204773,-1,0.076311912,-1,99.90625,0.002909598,36110.50339,1fe906c4-733e-466f-be13-9c4d668d5588,0,celeba,12800,3,20100000,FALSE
55,150,96.93965149,-1,0.109761904,-1,99.59375,0.012789489,7898.125104,082a044f-02f1-4e70-86d1-be2a0967664c,0,celeba,12800,3,20100000,TRUE
56,150,96.30542755,-1,0.134625572,-1,99.9609375,0.002136504,6912.313996,9159c602-7ece-4b2e-b79e-eef7cf4da407,3,celeba,12800,1,20100000,FALSE
57,150,97.62419891,-1,0.09297571,-1,100,0.000638424,7951.941689,c45b8043-b000-45ca-abc7-47b22f0455b3,3,celeba,12800,3,20100000,FALSE
58,150,96.51683807,-1,0.1521674,-1,99.984375,0.00117296,7932.179734,bb3ce3c1-b555-42d9-9f7c-92d824a700d5,3,celeba,12800,3,20100000,TRUE
