,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
0,100,89.90285492,-1,19.12257937,-1,99,0.426217467,738.9367967,b7e09fc6-ff5f-4612-95bf-963c89a1f924,0,celeba,100,1,20100000,FALSE
1,100,89.49514008,-1,7.018395069,-1,100,0,641.3020747,3e591d61-79c4-4c85-8537-6a3e7c79b208,0,celeba,100,3,20100000,FALSE
2,100,85.63446808,-1,10.02374687,-1,97,0.371172816,654.1289229,928e192f-905c-4028-90c8-5e113a496292,0,celeba,100,3,20100000,TRUE
3,100,85.87607574,-1,11.67648988,-1,100,0,744.2189803,8485a692-2285-4531-b0b5-09542e70fd6a,3,celeba,100,1,20100000,FALSE
4,100,84.84924316,-1,14.93088832,-1,100,0,657.0587976,65ffd99c-dcb3-4e4c-986f-dac776686f75,3,celeba,100,3,20100000,FALSE
5,100,79.51879883,-1,18.79730616,-1,100,0.000187349,659.35478,4b7c2745-96f5-4d07-ac51-ff0710e62106,3,celeba,100,3,20100000,TRUE
6,100,85.126091,-1,5.615225042,-1,100,0.007811151,655.0627658,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
7,100,83.37444305,-1,3.955706465,-1,100,0.019444287,474.7980533,645d6422-053c-4d1b-80d1-227558d9880b,8,celeba,100,3,20100000,TRUE
8,100,89.53540802,-1,6.080866345,-1,96,0.385501615,752.3292232,e56d7172-688f-4161-b93e-953b96a0bbb5,0,celeba,200,1,20100000,FALSE
9,100,89.24850464,-1,5.293270906,-1,96.5,0.095994568,693.6594992,9a88e54f-17ab-4513-81b5-37aa12f1df44,0,celeba,200,3,20100000,FALSE
10,100,85.22676086,-1,0.53405332,-1,92,0.247426728,693.3678911,98cabb37-d791-47a4-ab17-50cad4d4775d,0,celeba,200,3,20100000,TRUE
11,100,88.09080505,-1,2.934398225,-1,100,0.000432193,676.5629385,a2ee605c-b129-46d5-8157-6f817b7e7aef,3,celeba,200,1,20100000,FALSE
12,100,89.35923767,-1,1.335356154,-1,99,0.013927164,690.7959051,e66db22c-89b7-49ed-9faf-3919ed7acc1f,3,celeba,200,3,20100000,FALSE
13,100,86.73680115,-1,1.704343654,-1,100,0.027936524,696.5345082,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
14,100,87.56228638,-1,0.532448386,-1,96,0.097416017,695.768811,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
15,100,85.35259247,-1,0.812537677,-1,96.5,0.088987871,494.4142971,01f73300-33a4-402d-a229-c4a41deb9d2a,8,celeba,200,3,20100000,TRUE
16,100,91.25685883,-1,0.828129154,-1,96.75,0.102601681,736.2216365,f98d8114-ca91-4fff-8f27-b137a323e326,0,celeba,400,1,20100000,FALSE
17,100,92.10247803,-1,0.559716676,-1,96.75,0.109980085,754.6518114,fbe9dda2-cdec-4599-95ff-f5292d9dc287,0,celeba,400,3,20100000,FALSE
18,100,88.64448547,-1,0.34519474,-1,92,0.186328037,774.066952,cb853a11-9f5e-4249-83a6-18f796a7473b,0,celeba,400,3,20100000,TRUE
