,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
424,1,21,81.23521423,-1,8.178567731,-1,97.5,0.073778858,189.5348327,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
425,2,41,86.6965332,-1,1.58706494,-1,99,0.02143698,315.9583914,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
426,3,61,86.81733704,-1,1.645968788,-1,100,0.018638325,443.8666239,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
427,4,81,86.77706909,-1,1.641947596,-1,100,0.031477032,571.0284145,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
428,5,100,86.73680115,-1,1.704343654,-1,100,0.027936524,696.5345082,87a0790a-7573-4f40-925b-26b860d15511,3,celeba,200,3,20100000,TRUE
445,0,1,49.69547272,-1,104.6204142,-1,78.03125,7.852421105,81.52490139,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
446,1,11,93.7131958,-1,0.160942603,-1,94.65625,0.148454734,311.3721716,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
447,2,21,94.18130493,-1,0.152678471,-1,96.59375,0.095880577,542.9732056,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
448,3,31,93.18467712,-1,0.196351815,-1,97.5,0.072275,783.6571126,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
449,4,41,93.76352692,-1,0.216661507,-1,98.125,0.046074265,1020.91818,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
450,5,51,93.94976807,-1,0.219762178,-1,99.28125,0.021681932,1247.478515,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
451,6,61,94.23667145,-1,0.215243724,-1,99.84375,0.009685825,1480.746496,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
452,7,71,94.2014389,-1,0.232005502,-1,99.96875,0.007045446,1711.585478,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
453,8,81,94.25177002,-1,0.236143969,-1,99.9375,0.005022183,1939.220129,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
454,9,91,94.12593842,-1,0.246483954,-1,99.8125,0.007828226,2169.780181,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
455,10,101,94.38264465,-1,0.23288846,-1,99.9375,0.0039672,2397.013586,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
456,11,111,94.38768005,-1,0.229710784,-1,99.9375,0.004182569,2634.3028,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
457,12,121,94.46318054,-1,0.231323563,-1,99.9375,0.005529372,2841.478151,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
458,13,131,94.45310974,-1,0.231505518,-1,99.875,0.006133788,3040.340591,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
459,14,141,94.4178772,-1,0.235738403,-1,99.90625,0.005071867,3236.533149,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
460,15,150,94.45814514,-1,0.231452453,-1,100,0.003150398,3418.303405,8d742681-2ce6-46ed-b901-aa8332a27ea8,3,celeba,3200,3,20100000,TRUE
467,0,1,67.74047089,-1,1236206.818,-1,57.5,46.8090834,59.71982813,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
468,1,21,89.63607788,-1,0.406247996,-1,93.5,0.148651391,198.6545086,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
469,2,41,90.84411621,-1,0.359086661,-1,98.5,0.040365758,336.354634,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
470,3,61,90.39109802,-1,0.346738036,-1,97.75,0.063493686,474.8540733,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
471,4,81,91.14611816,-1,0.336936284,-1,99,0.050665548,636.2715952,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
472,5,100,91.24176025,-1,0.312198139,-1,99,0.042312489,777.7671027,c743ee3e-356a-431e-8323-32fffae2c103,3,celeba,400,3,20100000,FALSE
473,0,1,57.4369545,-1,11034279.3,-1,56.75,46.87058296,62.57846594,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
474,1,21,88.16127014,-1,0.388064093,-1,91.75,0.197156376,204.8767242,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
475,2,41,90.01358795,-1,0.422629391,-1,96.75,0.087273096,348.5260887,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
476,3,61,89.75184631,-1,0.365608571,-1,97.75,0.075667542,491.3201754,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
477,4,81,90.00352478,-1,0.376269962,-1,98.25,0.070100493,637.1304822,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
478,5,100,89.92298889,-1,0.365216904,-1,98,0.068537095,773.8647907,df2d1004-bc33-455e-bfa0-d7ca44b73eab,3,celeba,400,3,20100000,TRUE
495,0,1,92.08737946,-1,0.351853042,-1,84.796875,4.592463375,81.21571064,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
496,1,11,96.20475769,-1,0.100446785,-1,95.296875,0.119076219,389.6748369,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
497,2,21,95.83731842,-1,0.115697048,-1,97.90625,0.048652187,695.768841,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
498,3,31,96.03865814,-1,0.118049081,-1,98.4375,0.041852689,1008.47038,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
499,4,41,95.08229828,-1,0.176170195,-1,98.828125,0.030570153,1325.063882,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
500,5,51,96.66783905,-1,0.106006674,-1,99.5625,0.014046971,1656.563637,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
501,6,61,96.91448212,-1,0.109224962,-1,99.953125,0.004197419,1983.26131,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
502,7,71,96.92454529,-1,0.111729006,-1,99.96875,0.002686213,2298.796519,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
503,8,81,96.96481323,-1,0.111828178,-1,99.90625,0.002907837,2608.531915,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
504,9,91,96.96481323,-1,0.112672892,-1,99.96875,0.001959546,2919.636163,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
505,10,101,96.97488403,-1,0.116469837,-1,99.984375,0.001811282,3234.717712,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
506,11,111,97.06548309,-1,0.11391029,-1,100,0.001654969,3553.865187,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
507,12,121,96.93965149,-1,0.115114073,-1,100,0.001262906,3874.366217,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
508,13,131,97.00004578,-1,0.116122469,-1,99.96875,0.001601219,4197.118615,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
509,14,141,97.01011658,-1,0.115150921,-1,99.96875,0.001541808,4538.201347,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
510,15,150,96.94467926,-1,0.11377196,-1,100,0.001576932,4829.638207,4fa61afe-d2d7-4188-9721-829f3c1c3bf1,3,celeba,6400,3,20100000,FALSE
511,0,1,89.27366638,-1,0.321496872,-1,81.9375,4.660391206,81.48031306,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
512,1,11,94.90612793,-1,0.13670251,-1,92.46875,0.197582478,391.7100501,2dcd7a8d-652b-43b3-82c6-b7e9edacfa46,3,celeba,6400,3,20100000,TRUE
