,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,1,10.57999992,-1,38.12871488,-1,3,40.68675232,67.39861631,985599dc-c785-499f-9193-40dbcf870484,0,cifar10,100,0,20100000
1,21,42.25,-1,11.25171926,-1,60,5.570141792,161.9726725,985599dc-c785-499f-9193-40dbcf870484,0,cifar10,100,0,20100000
2,41,50.13999939,-1,8.833290469,-1,78,1.941588402,256.5520866,985599dc-c785-499f-9193-40dbcf870484,0,cifar10,100,0,20100000
3,61,49.40999985,-1,9.079323854,-1,82,1.680137634,351.2990401,985599dc-c785-499f-9193-40dbcf870484,0,cifar10,100,0,20100000
4,81,49.66999817,-1,8.968951151,-1,81,1.564346433,445.1826916,985599dc-c785-499f-9193-40dbcf870484,0,cifar10,100,0,20100000
5,100,49.69999695,-1,8.966742929,-1,82,1.33201015,537.5868719,985599dc-c785-499f-9193-40dbcf870484,0,cifar10,100,0,20100000
0,1,11.30000019,-1,38.36157375,-1,8.5,33.5917897,70.9409039,054d119e-06a7-415a-9e0d-2d82f5c22e2a,0,cifar10,400,0,20100000
1,21,62.68999863,-1,6.092324615,-1,71.5,2.978487592,216.3332295,054d119e-06a7-415a-9e0d-2d82f5c22e2a,0,cifar10,400,0,20100000
2,41,66.65999603,-1,5.409108227,-1,82.5,1.581791668,361.8575194,054d119e-06a7-415a-9e0d-2d82f5c22e2a,0,cifar10,400,0,20100000
3,61,67.56999969,-1,5.059604137,-1,85.25,1.265340962,508.3682251,054d119e-06a7-415a-9e0d-2d82f5c22e2a,0,cifar10,400,0,20100000
4,81,66.88999939,-1,5.277054646,-1,87.25,0.944342985,655.3267567,054d119e-06a7-415a-9e0d-2d82f5c22e2a,0,cifar10,400,0,20100000
5,100,67.20999908,-1,5.156116834,-1,84.25,1.394280291,796.7310238,054d119e-06a7-415a-9e0d-2d82f5c22e2a,0,cifar10,400,0,20100000
0,1,13.85999966,-1,34.71154488,-1,9.625,32.24576248,74.53343153,5079b471-5dee-4f83-a194-e4edd09ac359,0,cifar10,800,0,20100000
1,21,68.43999481,-1,4.283366604,-1,73.625,2.80075592,275.8569651,5079b471-5dee-4f83-a194-e4edd09ac359,0,cifar10,800,0,20100000
2,41,71.25,-1,3.449589268,-1,83.875,1.135374708,477.0834863,5079b471-5dee-4f83-a194-e4edd09ac359,0,cifar10,800,0,20100000
3,61,71.59999847,-1,3.304088418,-1,84.625,1.267664433,677.9412796,5079b471-5dee-4f83-a194-e4edd09ac359,0,cifar10,800,0,20100000
4,81,71.76999664,-1,3.261492727,-1,83.625,1.13349467,878.9675353,5079b471-5dee-4f83-a194-e4edd09ac359,0,cifar10,800,0,20100000
5,100,71.95999908,-1,3.220137531,-1,84.875,1.009657507,1073.387107,5079b471-5dee-4f83-a194-e4edd09ac359,0,cifar10,800,0,20100000
0,1,10.61999989,-1,33.04680601,-1,14,23.47191429,69.09077907,2cfa3b54-9a7d-42af-a201-10dbac5b9e82,3,cifar10,100,0,20100000
1,21,45.30999756,-1,8.434091475,-1,83,1.181705594,164.4581025,2cfa3b54-9a7d-42af-a201-10dbac5b9e82,3,cifar10,100,0,20100000
2,41,53.09999847,-1,7.203918182,-1,94,0.270106256,259.572928,2cfa3b54-9a7d-42af-a201-10dbac5b9e82,3,cifar10,100,0,20100000
3,61,54.02000046,-1,6.970048241,-1,97,0.223420709,354.3098834,2cfa3b54-9a7d-42af-a201-10dbac5b9e82,3,cifar10,100,0,20100000
4,81,54.13999939,-1,6.9398224,-1,97,0.06055887,448.985728,2cfa3b54-9a7d-42af-a201-10dbac5b9e82,3,cifar10,100,0,20100000
5,100,54.1099968,-1,6.926030493,-1,97,0.192395121,542.8334744,2cfa3b54-9a7d-42af-a201-10dbac5b9e82,3,cifar10,100,0,20100000
0,1,11.25,-1,24.74017005,-1,10.75,22.11914009,71.21552205,7188d4f3-c292-437a-bf91-d216b02d0f1c,3,cifar10,400,0,20100000
1,21,72.18999481,-1,3.266396238,-1,89.5,0.515138907,217.1207249,7188d4f3-c292-437a-bf91-d216b02d0f1c,3,cifar10,400,0,20100000
2,41,73.97999573,-1,2.930564614,-1,94.75,0.181807132,363.3065944,7188d4f3-c292-437a-bf91-d216b02d0f1c,3,cifar10,400,0,20100000
3,61,74.59999847,-1,2.833861731,-1,97.5,0.090146482,508.9396265,7188d4f3-c292-437a-bf91-d216b02d0f1c,3,cifar10,400,0,20100000
4,81,74.44999695,-1,2.805751869,-1,96.25,0.143540862,654.926259,7188d4f3-c292-437a-bf91-d216b02d0f1c,3,cifar10,400,0,20100000
5,100,74.50999451,-1,2.806451471,-1,97.5,0.120825136,796.1803977,7188d4f3-c292-437a-bf91-d216b02d0f1c,3,cifar10,400,0,20100000
0,1,14.2699995,-1,20.55730185,-1,10,20.33158081,74.12914538,65db594c-99b3-4864-815c-1639857d15ba,3,cifar10,800,0,20100000
1,21,76.62999725,-1,2.377233288,-1,90.25,0.469756134,274.8894582,65db594c-99b3-4864-815c-1639857d15ba,3,cifar10,800,0,20100000
2,41,78.66999817,-1,2.032993539,-1,94.5,0.210474347,476.3987229,65db594c-99b3-4864-815c-1639857d15ba,3,cifar10,800,0,20100000
3,61,78.61000061,-1,2.039475185,-1,94.5,0.195145209,677.6672187,65db594c-99b3-4864-815c-1639857d15ba,3,cifar10,800,0,20100000
4,81,78.61999512,-1,2.047763369,-1,96,0.156692492,878.2672746,65db594c-99b3-4864-815c-1639857d15ba,3,cifar10,800,0,20100000
5,100,78.56999969,-1,2.052409635,-1,94.5,0.212466507,1071.727986,65db594c-99b3-4864-815c-1639857d15ba,3,cifar10,800,0,20100000
0,1,9,-1,23.62752122,-1,10,34.16835022,67.62228465,3e8a4e2b-33da-43a0-9aed-8d90d02717ca,0,kmnist,100,0,20100000
1,21,14.75999928,-1,18.39234861,-1,74,2.802028418,155.8168869,3e8a4e2b-33da-43a0-9aed-8d90d02717ca,0,kmnist,100,0,20100000
2,41,20.02999878,-1,19.54334184,-1,98,0.050021697,244.0158412,3e8a4e2b-33da-43a0-9aed-8d90d02717ca,0,kmnist,100,0,20100000
3,61,23.77999878,-1,15.79413703,-1,100,0.00138874,332.4967396,3e8a4e2b-33da-43a0-9aed-8d90d02717ca,0,kmnist,100,0,20100000
4,81,24.90999985,-1,13.97179536,-1,100,0.001090193,420.797168,3e8a4e2b-33da-43a0-9aed-8d90d02717ca,0,kmnist,100,0,20100000
5,100,25.01000023,-1,13.71282892,-1,100,0.001012392,508.0909567,3e8a4e2b-33da-43a0-9aed-8d90d02717ca,0,kmnist,100,0,20100000
0,1,9.099999428,-1,38.70126946,-1,11,18.13092232,68.6048944,24c2e96e-c7ea-4cca-bb59-1d4ed0492ecf,3,kmnist,100,0,20100000
1,21,22.61999893,-1,17.31415251,-1,74,1.677328467,157.4235613,24c2e96e-c7ea-4cca-bb59-1d4ed0492ecf,3,kmnist,100,0,20100000
2,41,25.94999886,-1,12.55869798,-1,91,0.170005381,246.2412772,24c2e96e-c7ea-4cca-bb59-1d4ed0492ecf,3,kmnist,100,0,20100000
3,61,31.18999863,-1,9.057036392,-1,97,0.064511135,335.1635785,24c2e96e-c7ea-4cca-bb59-1d4ed0492ecf,3,kmnist,100,0,20100000
4,81,34.40999985,-1,7.583753273,-1,99,0.047218122,424.1960833,24c2e96e-c7ea-4cca-bb59-1d4ed0492ecf,3,kmnist,100,0,20100000
5,100,34.32999802,-1,7.583606364,-1,99,0.044316463,512.0333681,24c2e96e-c7ea-4cca-bb59-1d4ed0492ecf,3,kmnist,100,0,20100000
0,1,11.13999939,-1,34.28505963,-1,12.5,29.44892685,70.03065848,1e4a58cf-8880-4817-b581-6fa43c8e2308,0,kmnist,400,0,20100000
1,21,32.70999908,-1,14.43863716,-1,84.5,1.234086008,204.7985446,1e4a58cf-8880-4817-b581-6fa43c8e2308,0,kmnist,400,0,20100000
2,41,41.36000061,-1,10.27503333,-1,98,0.074607182,339.5820448,1e4a58cf-8880-4817-b581-6fa43c8e2308,0,kmnist,400,0,20100000
3,61,41.21999741,-1,9.889784953,-1,98.75,0.090680115,474.5974617,1e4a58cf-8880-4817-b581-6fa43c8e2308,0,kmnist,400,0,20100000
4,81,41.86999893,-1,9.784455205,-1,98.75,0.067994142,608.8494847,1e4a58cf-8880-4817-b581-6fa43c8e2308,0,kmnist,400,0,20100000
5,100,41.80999756,-1,9.89426329,-1,99,0.046880646,740.2842267,1e4a58cf-8880-4817-b581-6fa43c8e2308,0,kmnist,400,0,20100000
0,1,9.590000153,-1,32.4007415,-1,9.5,17.72879799,69.64203572,2156d1bd-af24-4774-8514-bcd19a06bb0d,3,kmnist,400,0,20100000
1,21,48.81999969,-1,5.256997573,-1,89.5,0.452461545,204.9865727,2156d1bd-af24-4774-8514-bcd19a06bb0d,3,kmnist,400,0,20100000
2,41,52.56999969,-1,4.587055324,-1,97.5,0.085573575,339.87413,2156d1bd-af24-4774-8514-bcd19a06bb0d,3,kmnist,400,0,20100000
3,61,52.56999969,-1,4.527945901,-1,98.75,0.050769688,474.9962444,2156d1bd-af24-4774-8514-bcd19a06bb0d,3,kmnist,400,0,20100000
4,81,52.65999985,-1,4.560439054,-1,98.75,0.053996443,609.2481933,2156d1bd-af24-4774-8514-bcd19a06bb0d,3,kmnist,400,0,20100000
5,100,52.8599968,-1,4.548826913,-1,98.25,0.076177895,741.0331502,2156d1bd-af24-4774-8514-bcd19a06bb0d,3,kmnist,400,0,20100000
0,1,10.72999954,-1,34.97731946,-1,11.875,27.35169746,72.3201406,c1a871d4-86c0-45a7-9844-cc51d6100093,0,kmnist,800,0,20100000
1,21,44.23999786,-1,7.534809895,-1,90.125,0.473629222,261.3343263,c1a871d4-86c0-45a7-9844-cc51d6100093,0,kmnist,800,0,20100000
2,41,45.72999954,-1,7.159751778,-1,98.25,0.061313967,450.5127859,c1a871d4-86c0-45a7-9844-cc51d6100093,0,kmnist,800,0,20100000
3,61,45.5,-1,6.975719336,-1,98,0.073942387,639.7518876,c1a871d4-86c0-45a7-9844-cc51d6100093,0,kmnist,800,0,20100000
4,81,45.62999725,-1,7.00379456,-1,98.5,0.042225684,828.5610495,c1a871d4-86c0-45a7-9844-cc51d6100093,0,kmnist,800,0,20100000
5,100,45.43000031,-1,6.9969138,-1,98.25,0.052361474,1010.57942,c1a871d4-86c0-45a7-9844-cc51d6100093,0,kmnist,800,0,20100000
0,1,10.61999989,-1,26.72495302,-1,10.625,15.73616772,72.6730628,3fd556d0-bc5a-465c-906a-1cef71b937ea,3,kmnist,800,0,20100000
1,21,57.37999725,-1,3.455933045,-1,90.875,0.325723863,262.2279668,3fd556d0-bc5a-465c-906a-1cef71b937ea,3,kmnist,800,0,20100000
2,41,59.77999878,-1,3.067530891,-1,98.375,0.070468037,451.7175896,3fd556d0-bc5a-465c-906a-1cef71b937ea,3,kmnist,800,0,20100000
3,61,60.0399971,-1,3.005442594,-1,99.25,0.055517831,640.8323321,3fd556d0-bc5a-465c-906a-1cef71b937ea,3,kmnist,800,0,20100000
4,81,60.25999832,-1,2.996536183,-1,99.25,0.053253152,831.2856853,3fd556d0-bc5a-465c-906a-1cef71b937ea,3,kmnist,800,0,20100000
5,100,60.14999771,-1,2.993102248,-1,99.375,0.054958901,1015.872913,3fd556d0-bc5a-465c-906a-1cef71b937ea,3,kmnist,800,0,20100000
0,1,11.67999935,-1,38.76756322,-1,14.9375,24.57263748,79.13328528,52652693-c41d-4b8e-b581-4623e8343369,0,kmnist,1600,0,20100000
1,21,50.56999969,-1,5.577706104,-1,86.6875,0.572581336,376.891969,52652693-c41d-4b8e-b581-4623e8343369,0,kmnist,1600,0,20100000
2,41,52.25999832,-1,4.960023198,-1,96.0625,0.115228333,675.1405635,52652693-c41d-4b8e-b581-4623e8343369,0,kmnist,1600,0,20100000
3,61,52.25,-1,4.898704832,-1,98.0625,0.068886859,975.4880154,52652693-c41d-4b8e-b581-4623e8343369,0,kmnist,1600,0,20100000
4,81,52.34000015,-1,4.826122043,-1,97.375,0.067238554,1274.743656,52652693-c41d-4b8e-b581-4623e8343369,0,kmnist,1600,0,20100000
5,100,52.39999771,-1,4.83603314,-1,97.75,0.069435621,1563.2948,52652693-c41d-4b8e-b581-4623e8343369,0,kmnist,1600,0,20100000
0,1,13.75999928,-1,26.11761094,-1,13.875,13.52166847,78.50167084,d0c478f6-89b7-492f-8211-b55ff4362396,3,kmnist,1600,0,20100000
1,21,65.26000214,-1,2.532519634,-1,92.9375,0.233390457,378.8069377,d0c478f6-89b7-492f-8211-b55ff4362396,3,kmnist,1600,0,20100000
2,41,67.65000153,-1,2.095846927,-1,97.875,0.072573396,677.7681823,d0c478f6-89b7-492f-8211-b55ff4362396,3,kmnist,1600,0,20100000
3,61,67.72999573,-1,2.066689638,-1,99,0.057508695,975.9459147,d0c478f6-89b7-492f-8211-b55ff4362396,3,kmnist,1600,0,20100000
4,81,67.88999939,-1,2.048337623,-1,98.9375,0.059229804,1274.486347,d0c478f6-89b7-492f-8211-b55ff4362396,3,kmnist,1600,0,20100000
5,100,67.90000153,-1,2.044554804,-1,99.0625,0.05681868,1561.827191,d0c478f6-89b7-492f-8211-b55ff4362396,3,kmnist,1600,0,20100000
0,1,26.14999962,-1,16.97162229,-1,32.875,14.10108272,110.8271213,3dc1120a-2a68-4f0f-a7f1-b4bfaa8ddd16,0,kmnist,6400,0,20100000
1,11,60.07999802,-1,3.061393818,-1,80.671875,1.037719783,621.3874664,3dc1120a-2a68-4f0f-a7f1-b4bfaa8ddd16,0,kmnist,6400,0,20100000
2,21,58.76999664,-1,3.153542147,-1,83.921875,0.679225589,1131.726294,3dc1120a-2a68-4f0f-a7f1-b4bfaa8ddd16,0,kmnist,6400,0,20100000
3,31,63.19999695,-1,2.04529809,-1,88.3125,0.397637244,1645.227721,3dc1120a-2a68-4f0f-a7f1-b4bfaa8ddd16,0,kmnist,6400,0,20100000
0,1,26.14999962,-1,16.97162229,-1,32.875,14.10108272,112.5978701,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
1,11,60.07999802,-1,3.061393818,-1,80.671875,1.037719783,630.1902912,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
2,21,58.76999664,-1,3.153542147,-1,83.921875,0.679225589,1147.586212,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
3,31,63.19999695,-1,2.04529809,-1,88.3125,0.397637244,1666.907913,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
4,41,58.94999695,-1,2.489313941,-1,87.078125,0.41107605,2186.702215,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
5,51,69.75999451,-1,1.384869984,-1,95.671875,0.132910827,2705.241884,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
6,61,70.11999512,-1,1.29420955,-1,97.546875,0.091912502,3224.442908,53b7834c-7367-4f8f-a6bd-8d7006656559,0,kmnist,6400,0,20100000
0,1,43.46999741,-1,6.971853723,-1,42.421875,6.721647305,111.59319,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
1,11,75.30999756,-1,1.396920053,-1,91.1875,0.325277334,625.7440164,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
2,21,79.5,-1,0.917825419,-1,95.65625,0.131789388,1139.810421,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
3,31,82.22999573,-1,0.692190485,-1,97.890625,0.081544567,1654.199026,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
4,41,83.48999786,-1,0.605832293,-1,98.9375,0.065347673,2168.563628,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
5,51,84.90000153,-1,0.541899563,-1,99.515625,0.054613265,2682.844668,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
6,61,84.97999573,-1,0.527774378,-1,99.5625,0.054290612,3196.754277,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
7,71,85.00999451,-1,0.524524482,-1,99.578125,0.055566167,3711.281606,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
8,81,85.05999756,-1,0.524034862,-1,99.671875,0.054585292,4228.348319,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
9,91,85.19999695,-1,0.520830042,-1,99.703125,0.054565147,4746.01308,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
10,101,85.12999725,-1,0.513735185,-1,99.6875,0.053606001,5264.058723,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
11,111,85.22000122,-1,0.514413209,-1,99.71875,0.054457768,5782.014928,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
12,121,85.20999908,-1,0.511214134,-1,99.703125,0.053930055,6300.481382,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
13,131,85.23999786,-1,0.512536145,-1,99.71875,0.054443702,6817.567834,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
14,141,85.23999786,-1,0.512943864,-1,99.671875,0.054682825,7335.372704,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
15,150,85.18999481,-1,0.511614997,-1,99.65625,0.054596773,7806.280485,c2ff9c1f-cdc0-4460-b038-8f4aeb77e63f,3,kmnist,6400,0,20100000
0,1,29.02999878,-1,12.21807925,-1,15.6875,16.83606974,75.96055222,29a719f4-a64f-4a36-a5ec-ceb645bbc8c6,3,cifar10,1600,0,20100000
1,21,80.72000122,-1,1.659949352,-1,90.5625,0.380029434,372.5311873,29a719f4-a64f-4a36-a5ec-ceb645bbc8c6,3,cifar10,1600,0,20100000
2,41,81.72000122,-1,1.457788299,-1,94.125,0.21004513,669.5313828,29a719f4-a64f-4a36-a5ec-ceb645bbc8c6,3,cifar10,1600,0,20100000
3,61,81.65999603,-1,1.401336154,-1,93.6875,0.202226114,966.5497637,29a719f4-a64f-4a36-a5ec-ceb645bbc8c6,3,cifar10,1600,0,20100000
4,81,81.86999512,-1,1.401439972,-1,94.5625,0.162481093,1262.224788,29a719f4-a64f-4a36-a5ec-ceb645bbc8c6,3,cifar10,1600,0,20100000
5,100,81.56999969,-1,1.406576829,-1,94.3125,0.204756873,1547.353714,29a719f4-a64f-4a36-a5ec-ceb645bbc8c6,3,cifar10,1600,0,20100000
0,1,62.98999786,-1,6.073609688,-1,36.34375,14.47561972,107.1835721,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
1,11,72.70999908,-1,2.4949732,-1,70.984375,2.343339515,602.4737494,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
2,21,74.48999786,-1,1.797944434,-1,74.234375,1.625972968,1097.874505,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
3,31,69.98999786,-1,2.020570444,-1,76.546875,1.186874149,1593.276865,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
4,41,79.77999878,-1,1.045695133,-1,77.328125,1.08105915,2088.208208,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
5,51,81.93000031,-1,0.82551292,-1,83.296875,0.649613089,2584.157559,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
6,61,81.65999603,-1,0.741735797,-1,84.546875,0.496626774,3079.245966,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
7,71,81.11000061,-1,0.738410055,-1,84.25,0.488264165,3573.720757,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
8,81,81.8299942,-1,0.658849582,-1,84.921875,0.444783121,4067.81578,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
9,91,81.5799942,-1,0.66977339,-1,85.828125,0.425323241,4561.832996,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
10,101,81.90000153,-1,0.619173345,-1,86.484375,0.389003968,5062.764153,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
11,111,81.68000031,-1,0.622487498,-1,86.15625,0.389695647,5562.798647,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
12,121,81.95999908,-1,0.615209925,-1,86.15625,0.398511381,6063.319035,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
13,131,82.02999878,-1,0.607839787,-1,86.421875,0.389107417,6564.980507,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
14,141,81.86000061,-1,0.605668796,-1,86.34375,0.394556144,7066.382662,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
15,150,81.90999603,-1,0.604311164,-1,86.65625,0.382163258,7525.608688,84613d0f-117f-44ff-a9d9-ff38c6244d50,0,cifar10,6400,0,20100000
0,1,66.13999939,-1,4.938085863,-1,50.3984375,9.100130529,42.40405107,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
1,11,76.25999451,-1,1.528951285,-1,74.484375,1.553152379,297.4428561,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
2,21,77.75,-1,1.135232013,-1,76.21875,1.137468019,551.7569323,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
3,31,74.83999634,-1,1.497933552,-1,75.140625,1.178190179,802.7988675,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
4,41,78.38999939,-1,1.218546492,-1,75.1640625,1.178414942,1055.565943,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
5,51,83.86000061,-1,0.72875653,-1,82.0625,0.730617373,1308.657937,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
6,61,83.55999756,-1,0.55876617,-1,84.78125,0.466657436,1557.824283,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
7,71,83.88999939,-1,0.505693279,-1,84.453125,0.445472502,1814.505376,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
8,81,84.41999817,-1,0.481487296,-1,85.96875,0.410588386,2079.641129,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
9,91,83.75,-1,0.489595263,-1,85.6796875,0.411394825,2330.428653,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
10,101,84.68999481,-1,0.460979974,-1,86.3671875,0.382895475,2585.872355,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
11,111,84.72999573,-1,0.45602642,-1,87.2109375,0.38139069,2842.747693,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
12,121,84.76999664,-1,0.452372079,-1,86.9453125,0.375895849,3105.130439,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
13,131,84.68000031,-1,0.456091325,-1,86.9296875,0.37984708,3378.87065,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
14,141,84.72000122,-1,0.450379881,-1,86.4609375,0.385351015,3650.028347,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
15,150,84.80999756,-1,0.448202279,-1,86.4921875,0.383090224,3888.204846,79f3282b-016a-41df-8ba0-5caa9b14d99e,0,cifar10,12800,0,20100000
0,1,73.38999939,-1,2.779394749,-1,58.625,6.611142975,64.4863131,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
1,11,77.61999512,-1,1.277177576,-1,75.0859375,1.203966609,509.7232733,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
2,21,80.08999634,-1,1.013816796,-1,74.66796875,1.313021113,963.06639,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
3,31,76.61000061,-1,1.311309457,-1,74.09765625,1.340594293,1411.511685,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
4,41,77.68999481,-1,1.600467365,-1,75.27734375,1.143435778,1862.141675,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
5,51,83.01999664,-1,0.72448771,-1,82.12109375,0.711037355,2281.269327,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
6,61,84.06999969,-1,0.504829208,-1,84.1796875,0.469097562,2701.331874,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
7,71,84.77999878,-1,0.461787066,-1,84.5,0.447508987,3121.446561,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
8,81,85.40000153,-1,0.43426268,-1,84.6484375,0.44185558,3540.812953,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
9,91,85.29000092,-1,0.432305097,-1,84.3828125,0.44482287,3960.184866,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
10,101,85.5,-1,0.426714229,-1,85.4609375,0.418566417,4379.306635,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
11,111,85.73999786,-1,0.416296783,-1,85.71484375,0.414769395,4799.107008,e8bb0762-85dc-4abb-ab3f-4aeb5bf6ae26,0,cifar10,25600,0,20100000
