,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
4,81,69.11000061035160,-1.0,2.959094086456300,-1.0,100.0,0.0007584047317504880,798.066243648529,d504de90-fa04-4c98-ad04-41875100789a,3.0,kmnist,400,3,20100000
5,100,69.0,-1.0,2.8952502044677700,-1.0,100.0,0.0008556234836578370,971.8112812042240,d504de90-fa04-4c98-ad04-41875100789a,3.0,kmnist,400,3,20100000
0,1,68.86000061035160,-1.0,1.042637926197050,-1.0,51.875,10.509840292334600,51.38399600982670,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
1,11,85.16999816894530,-1.0,0.4673039155960080,-1.0,87.265625,0.36848435446620000,342.4182105064390,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
2,21,85.91999816894530,-1.0,0.42703303694725000,-1.0,89.0703125,0.3111516886949540,639.5239689350130,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
3,31,88.5,-1.0,0.34506561131477400,-1.0,91.3203125,0.24701811954379100,940.6966140270230,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
4,41,85.3699951171875,-1.0,0.5086519375801090,-1.0,93.8359375,0.17482782825827600,1232.5297541618300,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
5,51,90.95999908447270,-1.0,0.29131602613478900,-1.0,97.1484375,0.0928114853799343,1511.354231595990,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
6,61,91.56999969482420,-1.0,0.28888097548484800,-1.0,99.015625,0.038018449917435600,1797.916384935380,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
7,71,91.23999786376950,-1.0,0.31404128687381700,-1.0,99.3828125,0.025772068998776400,2089.3104932308200,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
8,81,91.61000061035160,-1.0,0.30418975820541400,-1.0,99.6171875,0.018645156009588400,2361.301667690280,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
9,91,91.43999481201170,-1.0,0.3108754460334780,-1.0,99.6015625,0.018568096202798200,2652.9071991443600,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
10,101,91.69999694824220,-1.0,0.30712440821155900,-1.0,99.7578125,0.013286213141400400,2943.7116343975100,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
11,111,91.8699951171875,-1.0,0.3008133241198960,-1.0,99.828125,0.010782106667757000,3229.986161470410,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
12,121,91.73999786376950,-1.0,0.3052048265181480,-1.0,99.828125,0.010357147825416200,3518.892520904540,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
13,131,91.66999816894530,-1.0,0.3069587659835820,-1.0,99.8359375,0.009288025794085120,3795.951344013210,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
14,141,91.72000122070310,-1.0,0.30398753337860100,-1.0,99.8828125,0.008642921806313100,4078.9508571624800,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
15,150,91.7699966430664,-1.0,0.30626102294921900,-1.0,99.90625,0.008021585932001470,4355.928025960920,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
0,1,13.719999313354500,-1.0,73480.8439125,-1.0,17.625,85.91459281921390,30.895323753356900,8baf6085-107b-4cc3-9d77-b530b798eda0,0.0,cifar10,1600,3,20100000
1,21,71.5199966430664,-1.0,1.827166111755370,-1.0,83.9375,0.6472634065151220,186.5381624698640,8baf6085-107b-4cc3-9d77-b530b798eda0,0.0,cifar10,1600,3,20100000
2,41,79.29999542236330,-1.0,0.6976980529785160,-1.0,94.875,0.1758904403448110,341.8584740161900,8baf6085-107b-4cc3-9d77-b530b798eda0,0.0,cifar10,1600,3,20100000
3,61,79.72000122070310,-1.0,0.6785771577835080,-1.0,95.9375,0.1418807739019390,495.99158906936600,8baf6085-107b-4cc3-9d77-b530b798eda0,0.0,cifar10,1600,3,20100000
4,81,80.12999725341800,-1.0,0.6578081848144530,-1.0,96.375,0.13840474665164900,651.5683972835540,8baf6085-107b-4cc3-9d77-b530b798eda0,0.0,cifar10,1600,3,20100000
5,100,80.1500015258789,-1.0,0.6514933501720430,-1.0,97.125,0.13017198354005800,799.7903172969820,8baf6085-107b-4cc3-9d77-b530b798eda0,0.0,cifar10,1600,3,20100000
0,1,63.349998474121100,-1.0,2.2199637084960900,-1.0,37.5625,24.837739372253400,44.5555465221405,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
1,11,83.44999694824220,-1.0,0.4992292929172520,-1.0,85.28125,0.4126385119557380,219.1547360420230,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
2,21,84.18999481201170,-1.0,0.4710046908378600,-1.0,89.59375,0.29859515458345400,396.58238196373000,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
3,31,84.6500015258789,-1.0,0.4694939087152480,-1.0,91.609375,0.24976972728967700,567.9536473751070,bc7d6035-e152-425f-941b-770bde5bdb42,0.0,cifar10,6400,3,20100000
