,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,1,10.0,-1.0,15395.66931875,-1.0,10.0,40.601383209228516,22.391790866851807,1ebb8f2b-b0f5-4702-b763-c431cb6cb510,0.0,cifar10,100,9,20100000
1,21,10.0,-1.0,8043478.5072,-1.0,24.0,5.655755996704102,116.68542647361755,1ebb8f2b-b0f5-4702-b763-c431cb6cb510,0.0,cifar10,100,9,20100000
2,41,18.559999465942383,-1.0,195.00829858398438,-1.0,27.0,6.6989922523498535,210.48832821846008,1ebb8f2b-b0f5-4702-b763-c431cb6cb510,0.0,cifar10,100,9,20100000
3,61,18.03999900817871,-1.0,6.924391673278809,-1.0,29.0,3.3418545722961426,305.85831356048584,1ebb8f2b-b0f5-4702-b763-c431cb6cb510,0.0,cifar10,100,9,20100000
4,81,19.56999969482422,-1.0,5.021559967803955,-1.0,24.0,2.095614194869995,399.11530327796936,1ebb8f2b-b0f5-4702-b763-c431cb6cb510,0.0,cifar10,100,9,20100000
5,100,19.619998931884766,-1.0,5.604163043403625,-1.0,34.0,1.9620667695999146,489.8475413322449,1ebb8f2b-b0f5-4702-b763-c431cb6cb510,0.0,cifar10,100,9,20100000
0,1,68.86000061035156,-1.0,1.042637926197052,-1.0,51.875,10.509840292334557,51.38399600982666,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
1,11,85.16999816894531,-1.0,0.4673039155960083,-1.0,87.265625,0.36848435446619987,342.4182105064392,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
2,21,85.91999816894531,-1.0,0.42703303694725037,-1.0,89.0703125,0.3111516886949539,639.5239689350128,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
3,31,88.5,-1.0,0.34506561131477353,-1.0,91.3203125,0.24701811954379083,940.6966140270233,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
4,41,85.3699951171875,-1.0,0.5086519375801086,-1.0,93.8359375,0.17482782825827597,1232.5297541618347,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
5,51,90.95999908447266,-1.0,0.29131602613478896,-1.0,97.1484375,0.0928114853799343,1511.354231595993,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
6,61,91.56999969482422,-1.0,0.28888097548484803,-1.0,99.015625,0.038018449917435644,1797.916384935379,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
7,71,91.23999786376953,-1.0,0.31404128687381744,-1.0,99.3828125,0.025772068998776376,2089.3104932308197,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
8,81,91.61000061035156,-1.0,0.30418975820541383,-1.0,99.6171875,0.018645156009588392,2361.301667690277,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
9,91,91.43999481201172,-1.0,0.3108754460334778,-1.0,99.6015625,0.018568096202798187,2652.9071991443634,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
10,101,91.69999694824219,-1.0,0.30712440821155906,-1.0,99.7578125,0.013286213141400367,2943.7116343975067,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
11,111,91.8699951171875,-1.0,0.3008133241198957,-1.0,99.828125,0.010782106667757035,3229.986161470413,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
12,121,91.73999786376953,-1.0,0.3052048265181482,-1.0,99.828125,0.010357147825416177,3518.892520904541,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
13,131,91.66999816894531,-1.0,0.3069587659835815,-1.0,99.8359375,0.009288025794085115,3795.951344013214,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
14,141,91.72000122070312,-1.0,0.30398753337860107,-1.0,99.8828125,0.008642921806313097,4078.9508571624756,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
15,150,91.7699966430664,-1.0,0.30626102294921875,-1.0,99.90625,0.008021585932001472,4355.928025960922,e0f57869-acec-426a-a804-2fcba6c0d066,0.0,cifar10,12800,3,20100000
0,1,24.420000076293945,-1.0,4.507249322509765,-1.0,21.703125,17.450286904573442,51.30851149559021,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
1,11,62.529998779296875,-1.0,1.048312237548828,-1.0,62.1640625,1.0501778852939605,400.6588318347931,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
2,21,70.0,-1.0,0.8740715003967285,-1.0,74.0546875,0.7248711648583412,750.0762741565704,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
3,31,68.30999755859375,-1.0,1.0530869649887085,-1.0,81.8125,0.5144349628686905,1097.1153542995453,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
4,41,76.3699951171875,-1.0,0.7221493298530579,-1.0,86.5,0.37873370200395584,1443.9798271656036,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
5,51,86.37999725341797,-1.0,0.4097843323469162,-1.0,93.7734375,0.1864915419369936,1790.947190284729,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
6,61,87.08999633789062,-1.0,0.4346277308225632,-1.0,98.4609375,0.057483064737170936,2137.842232942581,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
7,71,87.0,-1.0,0.4799900973320007,-1.0,99.234375,0.03311511217616499,2485.0022065639496,fe8f157a-7f5e-4558-a285-7820a3f2cb6c,0.0,cifar10,12800,9,20100000
